,close
0,129.57
1,134.32
2,134.25
3,133.0
4,135.04
5,133.76
6,131.92
7,131.25
8,135.79
9,133.67
10,136.13
11,140.1
12,139.11
13,140.73
14,140.76
15,147.25
16,150.32
17,148.24
18,149.77
19,150.88
20,151.36
21,150.39
22,150.03
23,150.38
24,149.74
25,149.68
26,149.63
27,143.07
28,143.53
29,143.32
30,142.74
31,141.24
32,140.47
33,139.33
34,140.57
35,141.38
36,141.54
37,140.22
38,139.88
39,137.9
40,138.52
41,138.52
42,138.36
43,139.35
44,139.2
45,138.85
46,137.08
47,136.38
48,134.95
49,135.15
50,135.76
51,134.87
52,135.95
53,134.74
54,133.31
55,132.22
56,131.49
57,132.69
58,128.27
59,126.99
60,129.57
61,129.69
62,130.46
63,132.28
64,132.39
65,136.35
66,136.45
67,135.12
68,134.32
69,135.88
70,134.4
71,133.31
72,131.42
73,135.32
74,135.34
75,138.0
76,137.64
77,140.38
78,140.25
79,139.59
80,140.56
81,140.27
82,139.05
83,139.44
84,138.63
85,139.95
86,140.44
87,138.89
88,140.33
89,139.11
90,145.14
91,143.9
92,144.35
93,143.78
94,143.02
95,142.11
96,143.39
97,143.28
98,142.78
99,143.63
100,143.0
101,143.3
102,141.1
103,139.92
104,139.24
105,140.22
106,139.18
107,139.45
108,141.44
109,139.6
110,140.49
111,140.21
112,139.43
113,138.79
114,138.56
115,138.28
116,137.71
117,135.09
118,135.36
119,136.98
120,137.88
121,138.43
122,139.2
123,138.13
124,139.17
125,139.72
126,139.46
127,139.25
128,137.84
129,138.0
130,138.7
131,138.03
132,136.48
133,137.52
134,136.05
135,133.99
136,133.71
137,133.19
138,136.32
139,135.55
140,135.19
141,134.1
142,134.42
143,134.38
144,134.33
145,134.27
146,133.97
147,132.53
148,132.89
149,122.52
150,123.82
151,122.19
152,121.62
153,121.73
154,120.39
155,121.46
156,121.79
157,120.69
158,119.83
159,118.15
160,117.32
161,112.91
162,115.21
163,113.67
164,113.03
165,113.78
166,111.39
167,107.57
168,110.94
169,113.02
170,116.43
171,116.65
172,116.1
173,119.9
174,120.73
175,121.16
176,120.89
177,121.13
178,119.34
179,123.91
180,121.6
181,125.31
182,124.27
183,121.48
184,123.0
185,120.03
186,119.56
187,117.19
188,118.57
189,117.2
190,120.31
191,121.57
192,121.44
193,120.2
194,120.84
195,120.9
196,123.54
197,123.38
198,124.84
199,123.12
200,120.06
201,115.67
202,116.83
203,115.43
204,115.4
205,119.64
206,124.79
207,126.45
208,127.21
209,131.21
210,130.02
211,129.1
212,130.55
213,134.05
214,145.12
215,141.13
216,140.85
217,139.02
218,142.69
219,147.24
220,148.39
221,149.03
222,151.31
223,153.22
224,153.75
225,153.0
226,151.21
227,151.5
228,151.61
229,148.91
230,150.03
231,151.35
232,151.15
233,149.06
234,148.56
235,147.94
236,148.33
237,148.95
238,146.57
239,146.49
240,145.65
241,145.45
242,146.39
243,146.66
244,145.68
245,146.48
246,145.93
247,147.54
248,146.59
249,146.69
250,146.04
251,145.37
252,145.24
253,145.97
254,146.51
255,146.06
256,145.34
257,143.91
258,143.36
259,142.71
260,144.48
261,144.77
262,146.89
263,147.01
264,146.03
265,147.7
266,142.96
267,143.5
268,144.93
269,145.49
270,145.15
271,146.71
272,146.62
273,146.38
274,145.7
275,146.35
276,149.24
277,144.52
278,143.49
279,145.46
280,145.9
281,146.45
282,144.94
283,144.71
284,144.39
285,142.48
286,141.43
