,close
598,172.14
599,172.45
600,172.88
601,174.52
602,174.5
603,174.14
604,173.86
605,173.94
606,174.51
607,173.77
608,173.83
609,174.82
610,174.78
611,173.88
612,175.7
613,175.65
614,177.24
615,175.81
616,175.72
617,176.46
618,177.83
619,177.18
620,179.45
621,180.38
622,180.47
623,180.05
624,180.53
625,181.95
626,179.82
627,179.4
628,181.35
629,181.65
630,181.15
631,180.26
632,180.67
633,181.43
634,181.68
635,180.13
636,179.36
637,178.68
638,177.21
639,176.17
640,178.46
641,175.86
642,175.82
643,174.58
644,174.29
645,174.52
646,175.8
647,177.3
648,178.66
649,178.29
650,175.9
651,171.03
652,170.55
653,166.81
654,166.8
655,167.89
656,167.34
657,167.95
658,167.75
659,165.52
660,167.65
661,169.53
662,168.7
663,169.26
664,167.19
665,165.99
666,166.6
667,166.19
668,167.14
669,166.71
670,167.06
671,167.33
672,167.6
673,166.68
674,166.73
675,168.02
676,168.51
677,168.29
678,165.5
679,166.52
680,165.36
681,164.79
682,160.35
683,159.84
684,160.02
685,159.82
686,162.22
687,163.53
688,164.52
689,163.14
690,161.98
691,162.67
692,162.77
693,160.39
694,159.8
695,159.29
696,158.67
697,158.21
698,161.27
699,160.22
700,154.81
701,155.17
702,155.72
703,152.43
704,152.37
705,151.95
706,152.79
707,153.69
708,152.61
709,153.35
710,151.81
711,150.88
712,150.57
713,149.63
714,151.52
715,151.26
716,150.72
717,154.77
718,154.45
719,153.72
720,154.29
721,154.79
722,157.02
723,155.67
724,156.88
725,157.08
726,156.46
727,157.61
728,158.85
729,158.11
730,158.29
731,156.77
732,153.98
733,154.98
734,156.11
735,155.53
736,154.45
737,154.87
738,153.84
739,155.66
740,154.05
741,155.81
742,158.29
743,155.69
744,159.0
745,161.64
746,160.35
747,159.55
748,159.54
749,158.88
750,159.4
751,159.72
752,158.32
753,158.63
754,159.05
755,160.26
756,160.0
757,160.04
758,161.36
759,160.44
760,160.7
761,161.88
762,161.95
763,163.53
764,162.08
765,161.77
766,162.04
767,163.5
768,161.55
769,160.67
770,160.58
771,161.45
772,160.62
773,161.37
774,161.83
775,162.12
776,162.65
777,162.07
778,160.45
779,161.36
780,159.58
781,159.86
782,159.78
783,160.28
784,158.02
785,157.04
786,155.33
787,154.46
788,152.6
789,152.37
790,151.68
791,152.35
792,151.78
793,148.46
794,145.7
795,143.5
796,146.59
797,155.35
798,152.92
799,154.05
800,153.61
801,151.99
802,151.06
803,150.68
804,151.06
805,151.28
806,152.37
807,153.42
808,154.0
809,153.33
810,152.73
811,152.89
812,153.5
813,152.51
814,153.74
815,152.84
816,152.44
817,151.69
818,148.31
819,146.77
820,147.25
821,144.93
822,147.34
823,148.0
824,149.46
825,147.72
826,148.84
827,148.95
828,149.97
829,147.34
830,147.29
831,146.47
832,144.25
833,144.13
834,145.27
835,145.94
836,147.07
837,150.47
838,149.08
839,148.81
840,148.5
841,149.3
842,146.11
843,144.0
844,152.53
845,151.72
846,151.16
847,151.23
848,149.63
849,149.25
850,149.35
851,148.25
852,150.02
853,150.0
854,152.07
855,152.52
856,151.45
857,148.41
858,149.33
859,148.4
860,147.95
861,145.4
862,148.1
863,148.63
864,147.09
865,147.04
866,144.79
867,142.96
868,142.78
869,142.36
870,140.19
871,140.41
872,139.07
873,140.15
874,137.8
875,137.8
876,136.3
877,134.37
878,131.03
879,132.03
880,134.5
881,132.8
882,132.4
883,133.77
884,133.08
885,132.45
886,126.1
887,122.74
888,121.04
889,117.85
890,120.19
891,124.07
892,126.98
893,128.57
894,127.65
895,124.72
896,122.94
897,124.83
898,124.79
899,122.22
900,120.96
901,122.59
902,122.08
903,122.5
904,122.91
905,121.86
906,128.11
907,130.03
908,132.91
909,131.17
910,132.9
911,133.23
912,131.63
913,132.86
914,135.17
915,135.85
916,135.95
917,137.62
918,139.34
919,139.78
920,137.61
921,138.25
922,138.54
923,137.93
924,135.5
925,134.9
926,136.75
927,139.29
928,137.79
929,135.93
930,134.57
931,136.78
932,136.61
933,138.05
934,139.55
935,140.43
936,138.92
937,139.7
938,141.28
939,139.42
940,138.46
941,138.0
942,138.6
943,138.46
944,138.5
945,136.74
946,135.82
947,133.82
948,133.71
949,131.75
950,133.04
951,135.02
952,135.47
953,135.31
954,138.25
955,139.89
956,141.63
957,141.88
958,140.37
959,140.08
960,140.55
961,140.83
962,137.86
963,143.66
964,144.68
965,144.09
966,140.92
967,140.64
968,149.22
969,150.39
970,150.09
971,150.01
972,149.62
973,151.14
974,152.39
975,152.28
976,150.09
977,148.78
978,149.04
979,144.58
980,143.59
981,144.97
982,142.47
983,142.52
984,145.42
985,144.41
986,143.66
987,144.43
988,146.48
989,144.51
990,148.14
991,148.41
992,147.53
993,145.65
994,147.37
995,146.2
996,145.05
997,147.23
998,143.7
999,146.78
1000,145.05
1001,142.68
1002,147.89
1003,147.98
1004,148.54
1005,146.7
1006,140.96
1007,143.47
1008,148.85
1009,152.66
1010,153.94
1011,156.01
1012,156.31
1013,155.75
1014,155.07
1015,156.16
1016,155.51
1017,156.75
1018,155.12
1019,156.32
1020,157.9
1021,157.6
1022,158.71
1023,161.99
1024,160.96
1025,161.09
1026,160.05
1027,159.07
1028,159.75
1029,161.73
1030,160.35
1031,163.07
1032,173.22
1033,172.51
1034,171.0
1035,168.53
1036,168.61
1037,169.38
1038,166.95
1039,163.85
1040,163.16
1041,165.0
1042,164.73
1043,165.09
1044,164.49
1045,162.66
1046,162.97
1047,165.46
1048,166.08
1049,166.97
1050,168.62
1051,167.73
1052,166.99
1053,168.25
1054,167.17
1055,166.84
1056,166.26
1057,166.99
1058,168.78
1059,168.92
1060,165.68
1061,165.34
1062,167.4
1063,168.38
1064,169.92
1065,169.65
1066,170.18
1067,169.65
1068,171.71
1069,172.0
1070,170.13
1071,172.22
1072,173.34
1073,173.76
1074,173.48
1075,173.06
1076,173.26
1077,174.05
1078,172.28
1079,170.55
1080,171.12
1081,172.68
1082,170.99
1083,170.05
1084,173.08
1085,173.97
1086,173.67
1087,171.29
1088,174.4
1089,173.92
1090,170.73
1091,169.78
1092,170.24
1093,165.36
1094,164.26
1095,166.16
1096,160.67
1097,163.13
1098,164.13
1099,162.3
1100,162.38
1101,162.86
1102,162.34
1103,161.85
1104,162.07
1105,162.04
1106,160.45
1107,159.18
1108,160.5
1109,162.67
1110,160.4
1111,160.59
1112,159.2
1113,163.0
1114,164.63
1115,162.88
1116,159.81
1117,159.81
1118,156.96
1119,157.08
1120,154.28
1121,157.98
1122,156.8
1123,157.81
1124,160.77
1125,158.5
1126,161.18
1127,159.42
1128,161.03
1129,160.48
1130,161.94
1131,160.87
1132,162.81
1133,164.83
1134,162.91
1135,163.65
1136,163.89
1137,162.19
1138,160.96
1139,160.4
1140,158.52
1141,158.2
1142,158.56
1143,155.75
1144,156.72
1145,157.91
1146,156.96
1147,158.47
1148,154.66
1149,153.31
1150,155.48
1151,151.55
1152,153.67
1153,156.36
1154,155.87
1155,155.39
1156,152.09
1157,156.95
1158,157.14
1159,154.57
1160,155.8
1161,156.81
1162,156.44
1163,159.11
1164,158.42
1165,155.05
1166,156.07
1167,159.51
1168,162.06
1169,160.44
1170,160.05
1171,160.51
1172,162.34
1173,161.82
1174,162.24
1175,161.44
1176,158.51
1177,157.68
1178,151.93
1179,151.41
1180,153.06
1181,155.38
1182,161.07
1183,160.51
1184,162.99
1185,161.86
1186,163.27
1187,164.05
1188,164.52
1189,162.67
1190,161.54
1191,162.17
1192,161.95
1193,161.76
1194,162.15
1195,160.92
1196,160.64
1197,161.43
1198,161.89
1199,164.16
1200,164.16
1201,162.79
1202,161.92
1203,163.3
1204,163.49
1205,162.07
1206,161.46
1207,161.82
1208,162.65
1209,164.36
1210,164.4
1211,164.35
1212,163.46
1213,163.6
1214,161.87
1215,162.08
1216,162.18
1217,161.79
1218,163.23
1219,169.1
1220,182.05
1221,179.84
1222,181.75
1223,183.8
1224,183.52
1225,185.93
1226,186.42
1227,189.36
1228,185.71
1229,189.04
1230,188.67
1231,186.91
1232,187.17
1233,189.83
1234,189.64
1235,190.06
1236,189.01
1237,192.31
1238,191.62
1239,193.11
1240,194.0
1241,193.75
1242,192.8
1243,192.96
1244,191.81
1245,191.28
1246,191.72
1247,191.54
1248,189.99
1249,190.14
1250,191.2
1251,190.68
1252,191.95
1253,191.56
1254,192.3
1255,192.0
1256,192.25
1257,192.99
1258,191.16
